Section,Item,Link,Note,Done,Question / comment
Data stack and early projects,01 OpenAI API & timestamp generator,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/01_openai_api_timestamp_generator.html,"Nice project, good to watch. Once you've seen it, we can plan another project together.",,
Data stack and early projects,02 NumPy,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/02_numpy.html,You may already know most of this - just check the notebook.,,
Data stack and early projects,03 Pandas (part 1),https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/03_pandas_1.html,Pandas is very important. No need to memorize function names - focus on capabilities and nuances.,,
Data stack and early projects,04 Pandas (part 2),https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/04_pandas_2.html,Continuation. Same approach as 03: capabilities and nuances over memorization.,,
Data stack and early projects,05 Noble people analysis (project),https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/05_noble_people_analysis.html,Just a project. We can pick a different one if you prefer.,,
Data stack and early projects,06 Data visualization,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/06_data_viz.html,Quite important.,,
Data stack and early projects,07 Kargin project,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/07_kargin_project.html,"Also just a project. But since you like Kargin, maybe worth a watch.",,
Data stack and early projects,08 Logging & CLIs,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/08_logging__clis.html,Will be used quite a lot.,,
Data stack and early projects,09 Testing & debugging,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/09_testing__debugging.html,Used in every professional scenario. Quite needed.,,
"Tooling: scraping, storage, web",10 Scraping & parallelization,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/10_scraping__parallelization.html,Bonus for now.,,
"Tooling: scraping, storage, web",11 YSU scraping (project),https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/11_ysu_scraping.html,"Scraping project. We can change the target website, but it's a nice experience.",,
"Tooling: scraping, storage, web",12 SQL,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/12_sql.html,Not needed for pure ML for now - can be deferred.,,
"Tooling: scraping, storage, web",13 Pydantic,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/13_pydantic.html,"Important topics, but not super urgent.",,
"Tooling: scraping, storage, web",14 Misc libraries,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/14_misc_libraries.html,Just check the notebook. The lecture video is split into multiple parts.,,
"Tooling: scraping, storage, web",15 FastAPI,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/15_fast_api.html,"Will be important in the future, not urgent right now.",,
"Tooling: scraping, storage, web",16 Databases (Supabase),https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/16_dbs_supabase.html,"Same as 15 - important later, not urgent now.",,
AI tooling and clean code,17 Vibe coding,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/17_vibe_coding.html,"Quick demo of AI-agent coding, already quite outdated. GitHub Copilot is significantly worse than current tools like Codex / Claude Code.",,
AI tooling and clean code,18 Clean code & architecture,https://hayktarkhanyan.github.io/python_math_ml_course/python_libs/18_clean_code_architecture.html,Just the video is worth checking.,,
