Section,Item,Link,Note,Done,Question / comment
Python fundamentals,01 Intro,https://hayktarkhanyan.github.io/python_math_ml_course/python/01_Intro.html,,,
Python fundamentals,02 Conditions,https://hayktarkhanyan.github.io/python_math_ml_course/python/02_Conditions.html,,,
Python fundamentals,"03 Strings, ranges, lists, some functions",https://hayktarkhanyan.github.io/python_math_ml_course/python/03_Str_Range_List_some_funcs.html,,,
Python fundamentals,04 Loops,https://hayktarkhanyan.github.io/python_math_ml_course/python/04_loops.html,,,
Python fundamentals,"05 List/str methods, one-line if/for",https://hayktarkhanyan.github.io/python_math_ml_course/python/05_Lst_str_methods_one_line_if_for.html,,,
Python fundamentals,"06 Tuple, set, dictionary",https://hayktarkhanyan.github.io/python_math_ml_course/python/06_tuple_set_dictionary.html,,,
Python fundamentals,07 Functions (part 1),https://hayktarkhanyan.github.io/python_math_ml_course/python/07_Functions_1.html,,,
Python fundamentals,08 Functions (part 2),https://hayktarkhanyan.github.io/python_math_ml_course/python/08_Functions_2.html,,,
Python fundamentals,"09 Files, packages, terminal",https://hayktarkhanyan.github.io/python_math_ml_course/python/09_Files_Packages_Terminal.html,,,
Tooling and exception handling,"10 Git, conda, PEP8",https://hayktarkhanyan.github.io/python_math_ml_course/python/10_git_conda_pep8.html,Quite important from a setup perspective. The notebook covers git and conda.,,
Tooling and exception handling,uv (modern pip/conda alternative),https://www.youtube.com/watch?v=AMdG7IjgSPM,Fast modern Python package/project manager (drop-in replacement for pip/conda). Worth knowing - example video linked.,,
Tooling and exception handling,Setup check,,"Make sure you have VS Code, Python, and git installed on your PC.",,
Tooling and exception handling,11 Exception handling,https://hayktarkhanyan.github.io/python_math_ml_course/python/11_exception_handling.html,Important. No need to fully memorize when finally vs else trigger - understand the idea.,,
"Streamlit, recursion, decorators","12 Streamlit, recursion",https://hayktarkhanyan.github.io/python_math_ml_course/python/12_streamlit_recursion.html,Streamlit is good to know - we'll use it a lot. Recursion is also an important concept.,,
"Streamlit, recursion, decorators",13 Decorators,https://hayktarkhanyan.github.io/python_math_ml_course/python/13_decorators.html,"More advanced, but very good to know.",,
Object-oriented programming,14 Classes,https://hayktarkhanyan.github.io/python_math_ml_course/python/14_Classes.html,Mandatory.,,
Object-oriented programming,"15 Inheritance, polymorphism",https://hayktarkhanyan.github.io/python_math_ml_course/python/15_inheritance_polymorphism.html,"Inheritance will be used a lot. Polymorphism is less crucial, but good to at least watch the lecture video.",,
Object-oriented programming,"16 Encapsulation, abstraction",https://hayktarkhanyan.github.io/python_math_ml_course/python/16_encapsulation_abstraction.html,"Good to know, but no need for too much depth",,
Object-oriented programming,"17 Dataclass, iterator, generator, context manager",https://hayktarkhanyan.github.io/python_math_ml_course/python/17_dataclass_iterator_generator_context_manager.html,Bonus - we don't need this depth. Just watch enough to know what dataclasses and generators are.,,
Capstone project,18 YouTube translator (project),https://hayktarkhanyan.github.io/python_math_ml_course/python/18_youtube_translator.html,"Capstone project. Ping me when you reach this stage - we'll plan the project together.",,
