date,value_kdram
2010-01-01,13028632.0
2010-02-01,11469982.0
2010-03-01,8738589.0
2010-04-01,8790333.0
2010-05-01,7263646.0
2010-06-01,8555691.0
2010-07-01,8280265.0
2010-08-01,7733215.0
2010-09-01,8070446.0
2010-10-01,8763342.0
2010-11-01,10757040.0
2010-12-01,13019195.0
2011-01-01,16059908.0
2011-02-01,16327326.0
2011-03-01,14049179.0
2011-04-01,11845867.0
2011-05-01,12772415.0
2011-06-01,13054268.0
2011-07-01,11537627.0
2011-08-01,11418158.0
2011-09-01,10199796.0
2011-10-01,12713243.0
2011-11-01,14740476.0
2011-12-01,19835494.0
2012-01-01,20991719.0
2012-02-01,22194162.0
2012-03-01,20498116.0
2012-04-01,14169265.0
2012-05-01,13723963.0
2012-06-01,14473283.0
2012-07-01,14055817.0
2012-08-01,13464632.0
2012-09-01,14244637.0
2012-10-01,19458401.0
2012-11-01,22232327.0
2012-12-01,22217807.0
2013-01-01,26089613.0
2013-02-01,20798767.0
2013-03-01,17721790.0
2013-04-01,11649561.0
2013-05-01,11691686.0
2013-06-01,15473891.0
2013-07-01,17178561.0
2013-08-01,16971352.0
2013-09-01,19370377.0
2013-10-01,28074249.0
2013-11-01,27472274.0
2013-12-01,38011173.0
2014-01-01,24676880.0
2014-02-01,19933181.0
2014-03-01,17996081.0
2014-04-01,16224051.0
2014-05-01,14979667.0
2014-06-01,13701790.0
2014-07-01,16518493.0
2014-08-01,18242643.0
2014-09-01,19161901.0
2014-10-01,23368081.0
2014-11-01,22327155.0
2014-12-01,24626433.0
2015-01-01,22146565.0
2015-02-01,20618977.0
2015-03-01,20685724.0
2015-04-01,19580658.0
2015-05-01,19756038.0
2015-06-01,19100115.0
2015-07-01,17512136.0
2015-08-01,23126246.0
2015-09-01,22697954.0
2015-10-01,22688411.0
2015-11-01,25779688.0
2015-12-01,30329954.0
2016-01-01,28497050.0
2016-02-01,24632291.0
2016-03-01,22395420.0
2016-04-01,21540961.0
2016-05-01,17976603.0
2016-06-01,17375034.0
2016-07-01,19260520.0
2016-08-01,20011523.0
2016-09-01,19515848.0
2016-10-01,21124266.0
2016-11-01,24515996.0
2016-12-01,28701016.0
2017-01-01,29956309.0
2017-02-01,25104357.0
2017-03-01,21773959.0
2017-04-01,17856947.0
2017-05-01,18083534.0
2017-06-01,16920139.0
2017-07-01,21281846.0
2017-08-01,20509338.0
2017-09-01,20587517.0
2017-10-01,17962740.0
2017-11-01,21265227.0
2017-12-01,27523141.0
2018-01-01,27680796.0
2018-02-01,22382032.0
2018-03-01,20533853.0
2018-04-01,17703686.0
2018-05-01,18042396.0
2018-06-01,20375272.0
2018-07-01,22970898.0
2018-08-01,21149399.0
2018-09-01,18913641.0
2018-10-01,21085664.0
2018-11-01,23571917.0
2018-12-01,24577795.0
2019-01-01,23420103.0
2019-02-01,20677025.0
2019-03-01,21816096.0
2019-04-01,19954619.0
2019-05-01,16871002.0
2019-06-01,20688571.0
2019-07-01,20883408.0
2019-08-01,22711781.0
2019-09-01,20342173.0
2019-10-01,19005314.0
2019-11-01,21829141.0
2019-12-01,25778551.0
2020-01-01,26300824.0
2020-02-01,26217892.0
2020-03-01,20805316.0
2020-04-01,18770386.0
2020-05-01,16487490.0
2020-06-01,17442169.0
2020-07-01,20786860.0
2020-08-01,22153099.0
2020-09-01,19854754.0
2020-10-01,19853320.0
2020-11-01,22897470.0
2020-12-01,26273555.0
2021-01-01,27550636.0
2021-02-01,23622780.0
2021-03-01,26645830.0
2021-04-01,19902328.0
2021-05-01,19427359.0
2021-06-01,19242463.0
2021-07-01,22955602.0
2021-08-01,21299780.0
2021-09-01,20451586.0
2021-10-01,21449962.0
2021-11-01,25310982.0
2021-12-01,31359930.0
2022-01-01,33508123.0
2022-02-01,32043048.0
2022-03-01,30797225.0
2022-04-01,24875902.0
2022-05-01,21834900.0
2022-06-01,23717316.0
2022-07-01,25448980.0
2022-08-01,26865331.0
2022-09-01,23408017.0
2022-10-01,24683909.0
2022-11-01,27970448.0
2022-12-01,33736526.0
2023-01-01,35476182.0
2023-02-01,31727988.0
2023-03-01,26832170.0
2023-04-01,22515818.0
2023-05-01,21344975.0
2023-06-01,21800644.0
2023-07-01,24328929.0
2023-08-01,28630306.0
2023-09-01,22813652.0
2023-10-01,22406121.0
2023-11-01,28621435.0
2023-12-01,33781072.0
2024-01-01,35130292.0
2024-02-01,33896378.0
2024-03-01,32751020.0
2024-04-01,24361679.0
2024-05-01,23156888.0
2024-06-01,23173598.0
2024-07-01,26061339.0
2024-08-01,28950418.0
2024-09-01,24442993.0
2024-10-01,26606828.0
2024-11-01,32515093.0
2024-12-01,37974723.0
2025-01-01,38273910.0
2025-02-01,35760981.0
2025-03-01,31571570.0
2025-04-01,26474291.0
2025-05-01,23388910.0
2025-06-01,25427869.0
2025-07-01,33563817.0
2025-08-01,32024314.0
2025-09-01,27939334.0
2025-10-01,28244286.0
2025-11-01,32834774.0
2025-12-01,42757551.0
2026-01-01,45628646.0
2026-02-01,35370538.0
2026-03-01,37172554.0
2026-04-01,29572630.0
2026-05-01,25435632.0
2026-06-01,25550195.0
